sun_x,sun_y,sun_z
1.0061106421689804e-05,-4.951513185221326e-05,-5.4178174716055124e-08
1.0176407352772826e-05,-4.992902905330858e-05,-5.536330952577295e-08
1.0292740114618567e-05,-5.03444270320466e-05,-5.656485382223635e-08
1.0410106604310135e-05,-5.076132005968822e-05,-5.7782952448901144e-08
1.0528508564103954e-05,-5.1179702280226545e-05,-5.901772945816333e-08
1.0647947571863133e-05,-5.15995677318331e-05,-6.026928863566087e-08
1.0768425034292053e-05,-5.2020910367198496e-05,-6.153771418950843e-08
1.0889942182529583e-05,-5.244372407267655e-05,-6.282307155668141e-08
1.1012500069721113e-05,-5.2868002686196544e-05,-6.412540828908128e-08
1.113609957024687e-05,-5.3293740013947465e-05,-6.544475499026162e-08
1.1260741380335103e-05,-5.372092984586393e-05,-6.678112628062412e-08
1.1386426019833643e-05,-5.414956596996011e-05,-6.813452177435474e-08
1.1513153834951948e-05,-5.457964218556723e-05,-6.950492705568699e-08
1.1640925001819012e-05,-5.501115231553419e-05,-7.089231464545607e-08
1.1769739530730489e-05,-5.544409021745151e-05,-7.229664495151657e-08
1.1899597270982063e-05,-5.5878449793956044e-05,-7.371786719858181e-08
1.2030497916205877e-05,-5.631422500217026e-05,-7.515592033452731e-08
1.2162441010143233e-05,-5.675140986232452e-05,-7.661073391127948e-08
1.2295425952800424e-05,-5.7189998465604396e-05,-7.80822289391619e-08
1.2429452006945705e-05,-5.7629984981258794e-05,-7.957031871405893e-08
1.2564518304914513e-05,-5.80713636629975e-05,-8.107490961702256e-08
1.2700623855697332e-05,-5.8514128854699706e-05,-8.25959018860344e-08
1.283776755229043e-05,-5.895827499544742e-05,-8.413319035956041e-08
1.2975948179293946e-05,-5.940379662389057e-05,-8.568666519132158e-08
1.3115164420745054e-05,-5.985068838194238e-05,-8.725621253535676e-08
1.3255414868175803e-05,-6.0298945017795914e-05,-8.884171519997686e-08
1.339669802888597e-05,-6.0748561388244324e-05,-9.044305326859927e-08
1.3539012334420884e-05,-6.119953246027826e-05,-9.206010468469747e-08
1.3682356149242427e-05,-6.165185331192544e-05,-9.369274579718975e-08
1.3826727779578137e-05,-6.210551913228682e-05,-9.534085186150083e-08
1.3972125482428628e-05,-6.256052522071414e-05,-9.700429749023515e-08
1.4118547474706551e-05,-6.301686698506217e-05,-9.868295704587128e-08
1.4265991942471145e-05,-6.347453993893759e-05,-1.0037670496608406e-07
1.4414457050210346e-05,-6.393353969785398e-05,-1.0208541601018475e-07
1.4563940950106802e-05,-6.439386197418987e-05,-1.0380896541269536e-07
1.4714441791204282e-05,-6.485550257083372e-05,-1.0554722892719112e-07
1.48659577283661e-05,-6.531845737338718e-05,-1.0730008274021322e-07
1.501848693088583e-05,-6.57827223407857e-05,-1.090674032312267e-07
1.5172027590572227e-05,-6.624829349418682e-05,-1.1084906655025493e-07
1.5326577929082827e-05,-6.671516690396881e-05,-1.1264494797995537e-07
1.548213620422331e-05,-6.718333867468247e-05,-1.144549210435568e-07
1.56387007148608e-05,-6.765280492780602e-05,-1.1627885631435907e-07
1.5796269804017502e-05,-6.812356178217278e-05,-1.1811661987660938e-07
1.595484185961594e-05,-6.859560533197854e-05,-1.1996807138186495e-07
1.6114415312238795e-05,-6.906893162233643e-05,-1.2183306163998142e-07
1.6274988629146207e-05,-6.954353662244018e-05,-1.2371142968045813e-07
1.643656030366632e-05,-7.00194161965316e-05,-1.2560299921921513e-07
1.6599128838947738e-05,-7.049656607305671e-05,-1.2750757446962068e-07
1.6762692724949068e-05,-7.097498181264861e-05,-1.2942493524691774e-07
1.692725040746007e-05,-7.145465877590759e-05,-1.3135483133490134e-07
1.7092800247930132e-05,-7.193559209236653e-05,-1.3329697611612777e-07
1.7259340472961397e-05,-7.241777663253668e-05,-1.3525103951583158e-07
1.7426869112555777e-05,-7.290120698551415e-05,-1.3721664037879268e-07
1.7595383926645548e-05,-7.338587744526027e-05,-1.3919333849051734e-07
1.776488232014778e-05,-7.387178200929056e-05,-1.4118062657006566e-07
1.7935361247816827e-05,-7.43589143940208e-05,-1.4317792269862843e-07
1.8106817111551153e-05,-7.484726807128371e-05,-1.451845637964592e-07
1.827924565451306e-05,-7.533683633037056e-05,-1.4719980090379065e-07
1.8452641858328056e-05,-7.58276123691656e-05,-1.4922279713223393e-07
1.8626999851519464e-05,-7.631958941635233e-05,-1.5125262919650989e-07
1.880231283885638e-05,-7.681276088417914e-05,-1.5328829337242243e-07
1.89785730620079e-05,-7.730712054794046e-05,-1.5532871652034928e-07
1.9155771801345973e-05,-7.780266274445087e-05,-1.573727724460457e-07
1.9333899426576514e-05,-7.829938257791546e-05,-1.594193033555028e-07
1.9512945500026694e-05,-7.879727611848242e-05,-1.6146714555268026e-07
1.969289893119323e-05,-7.929634057722009e-05,-1.6351515792349057e-07
1.9873748175304263e-05,-7.979657444191575e-05,-1.6556225126618722e-07
2.0055481463216704e-05,-8.029797756116362e-05,-1.6760741628099593e-07
2.0238087046056274e-05,-8.080055116934683e-05,-1.6964974809248536e-07
2.042155343643179e-05,-8.130429785144382e-05,-1.7168846555055536e-07
2.06058696291087e-05,-8.180922145292565e-05,-1.7372292417029067e-07
2.0791025287389348e-05,-8.231532694520631e-05,-1.7575262230392106e-07
2.097701088630971e-05,-8.282262026035904e-05,-1.777772008497833e-07
2.1163817809096722e-05,-8.333110810983164e-05,-1.7979643737586383e-07
2.135143839818686e-05,-8.384079780090566e-05,-1.818102359002205e-07
2.15398659658289e-05,-8.435169706221766e-05,-1.8381861371375211e-07
2.172909477159788e-05,-8.486381388650019e-05,-1.8582168658382395e-07
2.19191199750824e-05,-8.537715639544414e-05,-1.8781965349701875e-07
2.2109937571840245e-05,-8.589173272870026e-05,-1.8981278184821848e-07
2.2301544319806773e-05,-8.64075509567776e-05,-1.9180139371504976e-07
2.2493937662036343e-05,-8.692461901603394e-05,-1.937858536093928e-07
2.268711565024089e-05,-8.744294466303314e-05,-1.957665578925004e-07
2.288107687225394e-05,-8.796253544514221e-05,-1.9774392588493028e-07
2.3075820385401477e-05,-8.848339868421621e-05,-1.997183925952157e-07
2.3271345656846026e-05,-8.900554147043616e-05,-2.0169040292501377e-07
2.3467652511286283e-05,-8.952897066371606e-05,-2.0366040717439903e-07
2.3664741085915483e-05,-9.005369290050015e-05,-2.0562885766009278e-07
2.3862611792230757e-05,-9.05797146041769e-05,-2.0759620626400729e-07
2.4061265284104365e-05,-9.110704199770967e-05,-2.0956290274341487e-07
2.4260702431441167e-05,-9.163568111741201e-05,-2.1152939365281614e-07
2.4460924298725594e-05,-9.216563782706866e-05,-2.134961217480685e-07
2.4661932127783044e-05,-9.269691783182744e-05,-2.1546352576355107e-07
2.4863727324127902e-05,-9.322952669146319e-05,-2.1743204047190932e-07
2.506631144633112e-05,-9.376346983275219e-05,-2.19402096952654e-07
2.5269686197906034e-05,-9.429875256079784e-05,-2.2137412301036554e-07
2.547385342127684e-05,-9.483538006922578e-05,-2.2334854369550755e-07
2.567881509345612e-05,-9.537335744922054e-05,-2.2532578189104003e-07
2.5884573323114696e-05,-9.591268969741513e-05,-2.273062589363674e-07
2.609113034877773e-05,-9.645338172266974e-05,-2.292903952669093e-07
2.62984885379255e-05,-9.69954383517929e-05,-2.312786110529856e-07
2.6506650386815774e-05,-9.75388643342664e-05,-2.332713268259832e-07
2.6715618520877607e-05,-9.808366434604073e-05,-2.3526896408312357e-07
2.692539569555438e-05,-9.862984299246631e-05,-2.3727194586473956e-07
2.71359847974976e-05,-9.917740481042521e-05,-2.392806972999506e-07
2.7347388846032516e-05,-9.972635426972263e-05,-2.4129564611810557e-07
2.755961099483343e-05,-0.00010027669577379288,-2.4331722312444393e-07
2.7772654533760004e-05,-0.00010082843365976766,-2.453458626391839e-07
2.7986522890817335e-05,-0.00010138157219794899,-2.473820028997398e-07
2.8201219634211703e-05,-0.00010193611559072035,-2.4942608642604753e-07
2.841674847448149e-05,-0.0001024920679709243,-2.514785603490717e-07
2.863311326668848e-05,-0.0001030494333997253,-2.5353987670250325e-07
2.88503180126596e-05,-0.00010360821586397062,-2.556104926774529e-07
2.9068366863272217e-05,-0.00010416841927305299,-2.5769087083960453e-07
2.9287264120778294e-05,-0.00010473004745527091,-2.597814793078247e-07
2.9507014241163716e-05,-0.0001052931041536744,-2.618827918926194e-07
2.972762183653876e-05,-0.00010585759302137387,-2.6399528819207736e-07
2.9949091677554034e-05,-0.0001064235176162821,-2.6611945364203184e-07
3.0171428695833335e-05,-0.00010699088139524745,-2.6825577951607693e-07
3.039463798640992e-05,-0.00010755968770752701,-2.704047628697781e-07
3.061872481014607e-05,-0.00010812993978753669,-2.7256690642187636e-07
3.084369459610659e-05,-0.00010870164074680307,-2.7474271836346723e-07
3.1069552943844754e-05,-0.00010927479356502952,-2.7693271208400145e-07
3.129630562554374e-05,-0.00010984940108017563,-2.791374058004546e-07
3.152395858793636e-05,-0.00011042546597743574,-2.8135732207309667e-07
3.1752517953901025e-05,-0.00011100299077698955,-2.8359298718791934e-07
3.1981990023600275e-05,-0.00011158197782038507,-2.8584493038190356e-07
3.221238127498913e-05,-0.00011216242925540432,-2.8811368288290666e-07
3.244369836347286e-05,-0.00011274434701925521,-2.9039977673101383e-07
3.267594812043557e-05,-0.00011332773281993246,-2.9270374334277845e-07
3.290913755029087e-05,-0.00011391258811559678,-2.9502611177397915e-07
3.314327382562349e-05,-0.00011449891409184248,-2.9736740663054677e-07
3.337836427989391e-05,-0.00011508671163676052,-2.997281455715445e-07
